Force [kN],Transducer 1[mm],Transducer 2[mm],Transducer 3[mm]
-0.99271721,-0.63361502,-0.024743652,-0.0090819895
-0.98179466,-0.6336714,-0.024742862,-0.0090964362
-0.97336435,-0.6335935,-0.024664685,-0.0090515725
-1.0084566,-0.63362849,-0.024773765,-0.00914561
-0.96955335,-0.63361961,-0.024661867,-0.009041898
-1.0257121,-0.63366574,-0.024737518,-0.0091491453
-0.96826071,-0.63360596,-0.024737382,-0.0090508796
-1.0294579,-0.63356769,-0.024695389,-0.0091809928
-0.97800606,-0.63358301,-0.024736103,-0.0090785921
-1.0057669,-0.63363492,-0.024680952,-0.0091463365
-0.9733271,-0.63355416,-0.024739057,-0.0090727806
-1.020357,-0.63368154,-0.024762334,-0.0091356859
-0.96824205,-0.63360834,-0.024657464,-0.0090504251
-1.0290779,-0.63358074,-0.024661608,-0.0091436766
-0.97128004,-0.63358986,-0.024704751,-0.0090440698
-1.0092016,-0.63361901,-0.024663484,-0.0091286153
-0.95832533,-0.6335873,-0.024714239,-0.0090326853
-0.99693608,-0.6336261,-0.024651607,-0.0090847313
-0.97723675,-0.63358009,-0.024697693,-0.0090867765
-0.98449177,-0.6335876,-0.024689686,-0.0090726316
-0.98611599,-0.63362539,-0.024717417,-0.009117417
-0.97588634,-0.633605,-0.024701087,-0.0090343691
-0.97653455,-0.63362581,-0.024652271,-0.0091045946
-0.98373181,-0.63352847,-0.024716746,-0.009040501
-1.0189954,-0.63362855,-0.024660993,-0.009144187
-0.96772051,-0.6335631,-0.024644176,-0.0090127699
-1.0226425,-0.63356602,-0.024699967,-0.0091359802
-0.98569506,-0.63357282,-0.024718111,-0.0090767853
-1.0195096,-0.63362873,-0.024779864,-0.0090883225
-0.98908317,-0.63358873,-0.024707014,-0.0090945922
-0.98667669,-0.6336087,-0.024673536,-0.0090486519
-0.99509394,-0.63363904,-0.024813632,-0.0090773255
-2.3557079,-0.00052589644,-0.00042489127,-0.00025512278
-4.3580756,-0.0012155902,-0.0011243409,-0.0010305122
-5.7494473,-0.0016307635,-0.0016560731,-0.0013115257
-8.5330467,-0.002711744,-0.0027154642,-0.0021966547
-10.32092,-0.0034940401,-0.0034844929,-0.0026035346
-12.304612,-0.004311081,-0.0040051318,-0.0032493398
-14.410914,-0.0052321646,-0.0048869951,-0.0037948377
-16.442493,-0.0061353166,-0.0055348543,-0.0044247098
-18.368752,-0.0068737362,-0.0063184565,-0.0050836466
-20.251497,-0.0076589361,-0.0070436657,-0.0056205466
-22.219084,-0.008454863,-0.0077016056,-0.006326396
-24.121834,-0.0092792809,-0.0084348181,-0.00689964
-26.081083,-0.010130189,-0.0089890715,-0.0075757653
-27.998817,-0.010980111,-0.0097574135,-0.008289516
-29.945303,-0.011641087,-0.010330067,-0.0090190917
-31.934692,-0.012552738,-0.011009178,-0.0098065063
-33.856586,-0.01326431,-0.01169613,-0.010467384
-35.800091,-0.014143318,-0.012324058,-0.011289202
-37.73468,-0.014880765,-0.013046898,-0.012042172
-39.673038,-0.015732128,-0.013643966,-0.01281409
-41.634613,-0.016500503,-0.014305789,-0.013611179
-43.561573,-0.017308131,-0.014938244,-0.014309324
-45.568359,-0.018148992,-0.015701862,-0.015241567
-47.47134,-0.018968519,-0.016322587,-0.015942309
-49.472881,-0.019778252,-0.017091071,-0.016805552
-51.390564,-0.020604264,-0.01774857,-0.017547883
-53.337921,-0.021394551,-0.01842843,-0.018308567
-55.289772,-0.022200782,-0.019057747,-0.019157361
-57.228256,-0.022983197,-0.019760063,-0.019976484
-59.192619,-0.023858856,-0.020523636,-0.020812251
-61.112038,-0.024558987,-0.021126535,-0.021590419
-63.104099,-0.025443178,-0.021849295,-0.022534365
-65.031601,-0.026282687,-0.022541044,-0.023244964
-66.993263,-0.027118035,-0.023279998,-0.024144402
-68.917686,-0.027918797,-0.023909364,-0.024933819
-70.887497,-0.028751574,-0.024670782,-0.025859578
-72.840729,-0.029592466,-0.025492597,-0.026639879
-74.790077,-0.03038571,-0.0260396,-0.027442468
-76.723022,-0.031282656,-0.026895791,-0.028355153
-78.647232,-0.032047801,-0.02754347,-0.029136397
-80.654022,-0.032851875,-0.028333943,-0.03011862
-82.578087,-0.033739895,-0.029076103,-0.030847315
-84.55146,-0.034596935,-0.029755859,-0.031835616
-86.465553,-0.035413325,-0.030473491,-0.032615218
-88.451881,-0.036299817,-0.031316936,-0.033587147
-90.384483,-0.037130322,-0.031924274,-0.034337148
-92.338104,-0.03804823,-0.032756042,-0.035263684
-94.247658,-0.038777981,-0.033474512,-0.03610244
-96.226868,-0.039674424,-0.034197573,-0.037019037
-98.164581,-0.040487621,-0.035071127,-0.037853248
-100.11375,-0.041427884,-0.035637874,-0.038745172
-102.08523,-0.042308893,-0.036506344,-0.039695401
-104.02323,-0.043109171,-0.037329201,-0.040607959
-105.9992,-0.044013098,-0.038114414,-0.041510362
-107.90714,-0.044832729,-0.038802147,-0.042330548
-109.86182,-0.045712266,-0.039531652,-0.043221287
-111.81137,-0.04666068,-0.040427376,-0.044161722
-113.74274,-0.047513578,-0.041117091,-0.045062087
-115.70079,-0.048436243,-0.041946143,-0.04603776
-117.60472,-0.049239263,-0.042669602,-0.046864275
-119.50188,-0.050147787,-0.043534927,-0.04773657
-117.51397,-0.049627468,-0.043038342,-0.047298245
-115.46253,-0.048999544,-0.042439498,-0.046606526
-113.46955,-0.048348144,-0.041860275,-0.046016403
-111.46927,-0.047757883,-0.041345678,-0.045333125
-109.51755,-0.047108788,-0.040673409,-0.04462672
-107.5938,-0.046525009,-0.040170662,-0.044056803
-105.60753,-0.045811012,-0.039656091,-0.043326844
-103.67123,-0.045147691,-0.039014947,-0.04265834
-101.7093,-0.044451259,-0.038422592,-0.041941781
-99.727219,-0.043834921,-0.037664581,-0.04122727
-97.819458,-0.043172859,-0.037204403,-0.040616866
-95.832794,-0.042443931,-0.036556534,-0.039872169
-93.916542,-0.041762471,-0.035915755,-0.039139289
-91.950966,-0.041129593,-0.035273638,-0.03847082
-90.008659,-0.040388979,-0.034778349,-0.037700694
-88.076324,-0.039694291,-0.034133669,-0.037107881
-86.116104,-0.039005484,-0.033502553,-0.036320698
-84.141197,-0.038271606,-0.032877676,-0.035548083
-82.20443,-0.037586723,-0.032168794,-0.034917917
-80.272438,-0.036868408,-0.031689815,-0.034144379
-78.348137,-0.03614055,-0.031023605,-0.033489518
-76.347748,-0.03546859,-0.030256428,-0.032703981
-74.441551,-0.034686655,-0.02978556,-0.032020669
